gvkey,fqtr,fyearq,datadate,fdateq,atq,ltq,isin,sedol,conm,sector
16538,1,2017,31/03/2017,16/08/2017,179261,126035,HK0293001514,6179755,CATHAY PACIFIC AIRWAYS LTD,Industrials
16538,4,2017,31/12/2017,14/03/2018,188378,127106,HK0293001514,6179755,CATHAY PACIFIC AIRWAYS LTD,Industrials
16538,1,2018,31/03/2018,08/08/2018,185924,120689,HK0293001514,6179755,CATHAY PACIFIC AIRWAYS LTD,Industrials
16538,4,2018,31/12/2018,13/03/2019,190294,126355,HK0293001514,6179755,CATHAY PACIFIC AIRWAYS LTD,Industrials
16538,1,2019,31/03/2019,07/08/2019,206396,143827,HK0293001514,6179755,CATHAY PACIFIC AIRWAYS LTD,Industrials
16538,4,2019,31/12/2019,11/03/2020,214516,151740,HK0293001514,6179755,CATHAY PACIFIC AIRWAYS LTD,Industrials
16538,1,2020,31/03/2020,12/08/2020,194932,145557,HK0293001514,6179755,CATHAY PACIFIC AIRWAYS LTD,Industrials
16538,4,2020,31/12/2020,09/03/2021,204574,131313,HK0293001514,6179755,CATHAY PACIFIC AIRWAYS LTD,Industrials
16538,1,2021,31/03/2021,11/08/2021,205668,135781,HK0293001514,6179755,CATHAY PACIFIC AIRWAYS LTD,Industrials
16538,4,2021,31/12/2021,08/03/2022,196627,124378,HK0293001514,6179755,CATHAY PACIFIC AIRWAYS LTD,Industrials
16538,1,2022,31/03/2022,10/08/2022,187195,118753,HK0293001514,6179755,CATHAY PACIFIC AIRWAYS LTD,Industrials
16538,4,2022,31/12/2022,07/03/2023,180914,117030,HK0293001514,6179755,CATHAY PACIFIC AIRWAYS LTD,Industrials
16538,1,2023,31/03/2023,09/08/2023,181178,116682,HK0293001514,6179755,CATHAY PACIFIC AIRWAYS LTD,Industrials
103409,1,2017,31/03/2017,16/08/2017,5424.426,2892.503,HK0669013440,B0190C7,TECHTRONIC INDUSTRIES CO LTD,Industrials
103409,4,2017,31/12/2017,13/03/2018,5598.477,2857.759,HK0669013440,B0190C7,TECHTRONIC INDUSTRIES CO LTD,Industrials
103409,1,2018,31/03/2018,15/08/2018,5873.597,2966.872,HK0669013440,B0190C7,TECHTRONIC INDUSTRIES CO LTD,Industrials
103409,4,2018,31/12/2018,06/03/2019,6348.862,3291.521,HK0669013440,B0190C7,TECHTRONIC INDUSTRIES CO LTD,Industrials
103409,1,2019,31/03/2019,14/08/2019,7296.025,4115.465,HK0669013440,B0190C7,TECHTRONIC INDUSTRIES CO LTD,Industrials
